Country (or dependency),Population  (2023),Yearly  Change %,Net  Change,Land Area  (Km²),Fertility Rate,Median Age,World  Share %
Belize,410825,1.37,5553,22810,2.0,26.0,0.01
Guadeloupe,395839,0.02,87,1690,2.0,42.0,0.0
Iceland,375318,0.65,2419,100250,1.7,36.0,0.0
Martinique,366981,-0.13999999999999999,-526,1060,1.9,47.0,0.0
Mayotte,335995,3.0300000000000002,9894,375,4.3,17.0,0.0
Vanuatu,334506,2.3800000000000003,7766,12190,3.7,20.0,0.0
French Guiana,312155,2.4899999999999998,7598,82200,3.4,24.0,0.0
French Polynesia,308872,0.8500000000000001,2593,3660,1.7,34.0,0.0
New Caledonia,292991,1.05,3041,18280,2.0,34.0,0.0
Barbados,281995,0.13,360,430,1.6,40.0,0.0
Sao Tome & Principe,231856,1.97,4476,960,3.7,19.0,0.0
Samoa,225681,1.48,3299,2830,3.8,21.0,0.0
Curaçao,192077,0.48,914,444,1.6,36.0,0.0
Saint Lucia,180251,0.22,394,610,1.4,34.0,0.0
Guam,172952,0.69,1178,540,2.5,30.0,0.0
Kiribati,133515,1.7399999999999998,2283,810,3.2,22.0,0.0
Grenada,126183,0.59,745,340,2.0,32.0,0.0
Tonga,107773,0.86,915,720,3.2,22.0,0.0
Seychelles,107660,0.51,542,460,2.3,33.0,0.0
Aruba,106277,-0.16,-168,180,1.2,42.0,0.0
St. Vincent & Grenadines,103698,-0.24,-250,390,1.8,33.0,0.0
U.S. Virgin Islands,98750,-0.72,-715,350,2.1,43.0,0.0
Antigua and Barbuda,94298,0.5700000000000001,535,440,1.6,36.0,0.0
Isle of Man,84710,0.22999999999999998,191,570,1.6,46.0,0.0
Andorra,80088,0.33,264,470,1.1,43.0,0.0
Dominica,73040,0.42,303,750,1.6,32.0,0.0
Cayman Islands,69310,0.88,604,240,1.2,38.0,0.0
Bermuda,64069,-0.18,-115,50,1.4,46.0,0.0
Greenland,56643,0.31,177,410450,1.9,35.0,0.0
Faeroe Islands,53270,0.33999999999999997,180,1396,2.7,38.0,0.0
Northern Mariana Islands,49796,0.49,245,460,2.1,38.0,0.0
Saint Kitts & Nevis,47755,0.21,98,260,1.5,35.0,0.0
Turks and Caicos,46062,0.79,359,950,1.6,38.0,0.0
